四川电信,#genre#
爱玩具,http://xeace.cn:8888/udp/239.93.42.18:5140
爱体育,http://xeace.cn:8888/udp/239.93.42.19:5140
爱赛车,http://xeace.cn:8888/udp/239.93.42.20:5140
爱浪漫,http://xeace.cn:8888/udp/239.93.42.21:5140
爱奇谈,http://xeace.cn:8888/udp/239.93.42.22:5140
爱动漫,http://xeace.cn:8888/udp/239.93.42.23:5140
生活时尚,http://xeace.cn:8888/udp/239.93.42.29:5140
都市剧场,http://xeace.cn:8888/udp/239.93.42.30:5140
环球旅游,http://xeace.cn:8888/udp/239.93.42.31:5140
绚影4K,http://xeace.cn:8888/udp/239.93.42.33:5140
4K乐享超清,http://xeace.cn:8888/udp/239.93.0.43:5140
亲子趣学4K,http://xeace.cn:8888/udp/239.93.1.191:5140
少儿天地,http://xeace.cn:8888/udp/239.93.42.34:5140
百姓健康,http://xeace.cn:8888/udp/239.93.42.35:5140
Bestv谍战剧场,http://xeace.cn:8888/udp/239.93.0.95:5140
Bestv华语影院,http://xeace.cn:8888/udp/239.93.0.138:5140
Bestv全球大片,http://xeace.cn:8888/udp/239.93.0.105:5140
Bestv星光院线,http://xeace.cn:8888/udp/239.93.0.139:5140
Bestv热门剧场,http://xeace.cn:8888/udp/239.93.0.140:5140
Bestv热门综艺,http://xeace.cn:8888/udp/239.93.0.151:5140
Bestv宝宝动画,http://xeace.cn:8888/udp/239.93.0.147:5140
Bestv青春动漫,http://xeace.cn:8888/udp/239.93.0.146:5140
Bestv戏曲精选,http://xeace.cn:8888/udp/239.93.0.144:5140
Bestv美食,http://xeace.cn:8888/udp/239.93.42.85:5140
Bestv健康科普,http://xeace.cn:8888/udp/239.93.42.84:5140
Bestv4K,http://xeace.cn:8888/udp/239.93.42.75:5140
Bestv直播室1,http://xeace.cn:8888/udp/239.93.1.180:5140
Bestv直播室2,http://xeace.cn:8888/udp/239.93.1.181:5140
Bestv直播室3,http://xeace.cn:8888/udp/239.93.1.182:5140
Bestv直播室4,http://xeace.cn:8888/udp/239.93.1.183:5140
Bestv直播室5,http://xeace.cn:8888/udp/239.93.1.184:5140
Bestv直播室6,http://xeace.cn:8888/udp/239.93.1.185:5140
Bestv直播室7,http://xeace.cn:8888/udp/239.93.1.186:5140
Bestv直播室8,http://xeace.cn:8888/udp/239.93.1.187:5140
IPTV经典电影,http://xeace.cn:8888/udp/239.93.0.57:9024
IPTV魅力时尚,http://xeace.cn:8888/udp/239.93.0.190:9012
IPTV热播剧场,http://xeace.cn:8888/udp/239.93.0.56:9020
IPTV少儿动画,http://xeace.cn:8888/udp/239.93.0.193:9000
IPTV高网,http://xeace.cn:8888/udp/239.93.0.202:9068
IPTV红色经典,http://xeace.cn:8888/udp/239.93.1.176:5140
IPTV解密,http://xeace.cn:8888/udp/239.93.0.199:9048
IPTV音乐现场,http://xeace.cn:8888/udp/239.93.0.198:9044
IPTV军事,http://xeace.cn:8888/udp/239.93.0.204:9076
IPTV地理,http://xeace.cn:8888/udp/239.93.0.200:9052
IPTV墨宝,http://xeace.cn:8888/udp/239.93.0.215:9132
IPTV戏曲,http://xeace.cn:8888/udp/239.93.0.217:9208
IPTV足球,http://xeace.cn:8888/udp/239.93.0.197:9040
精彩影视,http://xeace.cn:8888/udp/239.93.42.92:5140
书画,http://xeace.cn:8888/udp/239.93.42.67:5140
乐游,http://xeace.cn:8888/udp/239.93.42.94:5140
金色学堂,http://xeace.cn:8888/udp/239.93.42.95:5140
法治天地,http://xeace.cn:8888/udp/239.93.42.96:5140
魅力足球,http://xeace.cn:8888/udp/239.93.42.97:5140
劲爆体育,http://xeace.cn:8888/udp/239.93.42.98:5140
中录动漫4K,http://xeace.cn:8888/udp/239.93.1.188:5140
爱上4K,http://xeace.cn:8888/udp/239.93.0.97:5140
财富天下,http://xeace.cn:8888/udp/239.93.0.116:9136
茶频道,http://xeace.cn:8888/udp/239.93.0.114:5140
东方财经,http://xeace.cn:8888/udp/239.93.1.165:5140
乐龄学堂,http://xeace.cn:8888/udp/239.93.1.179:5140
动漫秀场,http://xeace.cn:8888/udp/239.93.42.93:5140
哈哈炫动,http://xeace.cn:8888/udp/239.93.0.173:5140
优漫卡通,http://xeace.cn:8888/udp/239.93.0.251:5140
嘉佳卡通,http://xeace.cn:8888/udp/239.93.0.246:5140
金鹰卡通,http://xeace.cn:8888/udp/239.93.0.108:5140
卡酷少儿,http://xeace.cn:8888/udp/239.93.0.208:5140
梨园频道,http://xeace.cn:8888/udp/239.93.1.195:5140
麻辣体育,http://xeace.cn:8888/udp/239.93.42.60:5140
天元围棋,http://xeace.cn:8888/udp/239.93.42.55:5140
先锋乒羽,http://xeace.cn:8888/udp/239.93.42.56:5140
快乐垂钓,http://xeace.cn:8888/udp/239.93.1.151:5140
来钓鱼吧,http://xeace.cn:8888/udp/239.93.42.8:5140
汽摩,http://xeace.cn:8888/udp/239.93.0.62:5140
电竞天堂,http://xeace.cn:8888/udp/239.93.1.135:5140
游戏风云,http://xeace.cn:8888/udp/239.93.0.136:5140
四川经济,http://xeace.cn:8888/udp/239.93.1.101:5140
四川文化旅游,http://xeace.cn:8888/udp/239.93.1.102:5140
四川新闻,http://xeace.cn:8888/udp/239.93.0.47:5140
四川影视文艺,http://xeace.cn:8888/udp/239.93.0.166:5140
